Cycle,PSUID,Cluster,Plot,PlotID,SPCODE,Cover,Comments
C1,P000,48,C,P00048_C,PANHEM,1,
C1,P000,48,C,P00048_C,UTRFOL,5,
C1,P000,48,E,P00048_E,CLAJAM,20,
C1,P000,48,E,P00048_E,ELECEL,5,
C1,P000,48,E,P00048_E,JUSANG,10,
C1,P000,48,N,P00048_N,CLAJAM,30,
C1,P000,48,N,P00048_N,ELECEL,5,
C1,P000,48,N,P00048_N,JUSANG,5,
C1,P000,48,N,P00048_N,UTRFOL,5,
C1,P000,49,C,P00049_C,BACCAR,1,
C1,P000,49,C,P00049_C,CLAJAM,50,
C1,P000,49,E,P00049_E,CLAJAM,30,
C1,P000,49,E,P00049_E,CRIAME,1,
C1,P000,49,E,P00049_E,ELECEL,5,
C1,P000,49,E,P00049_E,UTRFOL,5,
C1,P000,49,E,P00049_E,UTRPUR,1,
C1,P000,49,N,P00049_N,CLAJAM,25,
C1,P000,49,N,P00049_N,ELECEL,10,
C1,P000,50,C,P00050_C,CLAJAM,60,
C1,P000,50,E,P00050_E,CLAJAM,40,
C1,P000,50,N,P00050_N,BACCAR,30,
C1,P000,50,N,P00050_N,CLAJAM,20,
C1,P000,66,C,P00066_C,CLAJAM,30,
C1,P000,66,C,P00066_C,ELECEL,40,
C1,P000,66,C,P00066_C,SAGLAN,5,
C1,P000,66,E,P00066_E,CLAJAM,10,
C1,P000,66,E,P00066_E,ELECEL,60,
C1,P000,66,E,P00066_E,HYMLAT,5,
C1,P000,66,E,P00066_E,PELVIR,5,
C1,P000,66,N,P00066_N,CLAJAM,20,
C1,P000,66,N,P00066_N,CRIAME,15,
C1,P000,67,C,P00067_C,CLAJAM,60,
C1,P000,67,C,P00067_C,ELECEL,20,
C1,P000,67,E,P00067_E,CLAJAM,20,
C1,P000,67,E,P00067_E,CRIAME,20,
C1,P000,67,E,P00067_E,ELECEL,10,
C1,P000,67,E,P00067_E,JUSANG,5,
C1,P000,67,E,P00067_E,SAGLAN,1,
C1,P000,67,N,P00067_N,BACCAR,1,
C1,P000,67,N,P00067_N,CLAJAM,50,
C1,P000,67,N,P00067_N,SALCAR,10,
C1,P000,68,C,P00068_C,CLAJAM,30,
C1,P000,68,C,P00068_C,CRIAME,5,
C1,P000,68,E,P00068_E,CLAJAM,40,
C1,P000,68,E,P00068_E,CRIAME,5,
C1,P000,68,N,P00068_N,CLAJAM,40,
C1,P000,68,N,P00068_N,CRIAME,1,
C1,P000,69,C,P00069_C,CLAJAM,70,
C1,P000,69,C,P00069_C,ELECEL,20,
C1,P000,69,E,P00069_E,ELECEL,30,
C1,P000,69,E,P00069_E,JUSANG,5,
C1,P000,69,E,P00069_E,RHYTRA,5,
C1,P000,69,E,P00069_E,TYPDOM,20,
C1,P000,69,N,P00069_N,CLAJAM,50,
C1,P000,70,C,P00070_C,CLAJAM,20,
C1,P000,70,C,P00070_C,CRIAME,10,
C1,P000,70,E,P00070_E,CLAJAM,50,
C1,P000,70,E,P00070_E,CRIAME,10,
C1,P000,70,E,P00070_E,HYMLAT,5,
C1,P000,70,N,P00070_N,CLAJAM,30,
C1,P000,70,N,P00070_N,PELVIR,5,
C1,P000,70,N,P00070_N,UTRFOL,10,
C1,P001,1,C,P00101_C,BACCAR,1,
C1,P001,1,C,P00101_C,CLAJAM,2.5,
C1,P001,1,C,P00101_C,ELESPP,10,
C1,P001,1,C,P00101_C,NYMODO,2.5,
C1,P001,1,C,P00101_C,UTRPUR,1,
C1,P001,1,E,P00101_E,BACCAR,2.5,
C1,P001,1,E,P00101_E,CEPOCC,1,
C1,P001,1,E,P00101_E,CLAJAM,2.5,
C1,P001,1,E,P00101_E,ELESPP,2.5,
C1,P001,1,E,P00101_E,MORCER,1,
C1,P001,1,E,P00101_E,PELVIR,2.5,
C1,P001,1,E,P00101_E,RHYINU,1,
C1,P001,2,C,P00102_C,CLAJAM,1,
C1,P001,2,C,P00102_C,ELESPP,2.5,
C1,P001,2,C,P00102_C,NYMODO,2.5,
C1,P001,2,C,P00102_C,PANSPP,1,
C1,P001,2,C,P00102_C,UTRPUR,2.5,
C1,P001,2,E,P00102_E,CEPOCC,2.5,
C1,P001,2,E,P00102_E,CLAJAM,10,
C1,P001,2,E,P00102_E,LYGMIC,2.5,
C1,P001,2,E,P00102_E,UTRPUR,2.5,
C1,P001,3,C,P00103_C,ELESPP,2.5,
C1,P001,3,C,P00103_C,UTRPUR,10,
C1,P001,3,E,P00103_E,ELESPP,2.5,
C1,P001,3,E,P00103_E,NYMODO,2.5,
C1,P001,3,E,P00103_E,UTRPUR,2.5,
C1,P001,4,C,P00104_C,ELESPP,2.5,
C1,P001,4,C,P00104_C,NYMODO,2.5,
C1,P001,4,C,P00104_C,UTRPUR,10,
C1,P001,4,E,P00104_E,ELESPP,10,
C1,P001,4,E,P00104_E,NYMODO,2.5,
C1,P001,4,E,P00104_E,UTRPUR,2.5,
C1,P001,5,C,P00105_C,ELESPP,2.5,
C1,P001,5,C,P00105_C,NYMODO,2.5,
C1,P001,5,C,P00105_C,PANSPP,1,
C1,P001,5,C,P00105_C,UTRPUR,1,
C1,P001,5,E,P00105_E,ELESPP,2.5,
C1,P001,5,E,P00105_E,NYMODO,2.5,
C1,P001,5,E,P00105_E,PANSPP,1,
C1,P001,5,E,P00105_E,UTRPUR,1,
C1,P001,6,C,P00106_C,CLAJAM,2.5,
C1,P001,6,C,P00106_C,ELESPP,1,
C1,P001,6,C,P00106_C,PANSPP,1,
C1,P001,6,C,P00106_C,XYRSPP,1,
C1,P001,6,E,P00106_E,BACCAR,2.5,
C1,P001,6,E,P00106_E,CEPOCC,2.5,
