"","PlotID_New","East_mm","East_sd","North_mm","North_sd"
"4803","P02860_N",547489.4,0,2863895.3,0
"4804","P02861_C",546136.3,0,2864525,0
"4805","P02861_E",546152.1,0,2864527.7,0
"4806","P02861_N",546135.5,0,2864529.9,0
"4807","P02863_C",546224.7,NA,2864492.2,NA
"4808","P02863_E",546239.5,NA,2864494.8,NA
"4809","P02863_N",546223.3,NA,2864500,NA
"4810","P02866_C",546526.2,NA,2864547.7,NA
"4811","P02866_E",546549.8,NA,2864551.9,NA
"4812","P02866_N",546521.5,NA,2864574.3,NA
"4813","P02867_C",546593.6,NA,2864603.1,NA
"4814","P02867_E",546612.3,NA,2864606.4,NA
"4815","P02867_N",546589.6,NA,2864625.8,NA
"4816","P02868_C",546618.7,0,2864470.4,0
"4817","P02868_E",546632.4,0,2864472.9,0
"4818","P02868_N",546614.1,0,2864496.1,0
"4819","P02869_C",546497,0,2864640.5,0
"4820","P02869_E",546531.4,0,2864646.6,0
"4821","P02869_N",546495.1,0,2864651.3,0
"4822","P02870_C",546489.7,0,2864459.6,0
"4823","P02870_E",546503.4,0,2864462.1,0
"4824","P02870_N",546488.8,0,2864464.6,0
"4825","P02871_C",546982.6,NA,2864521.5,NA
"4826","P02871_E",547017,NA,2864527.6,NA
"4827","P02871_N",546979.3,NA,2864540.2,NA
"4828","P02872_C",547000,0,2864533.6,0
"4829","P02872_E",547018.7,0,2864536.9,0
"4830","P02872_N",546997.7,0,2864546.4,0
"4831","P02873_C",547017.3,0.424264068695465,2864352.5,0.707106781186548
"4832","P02873_E",547042.1,0.141421356204382,2864357.15,0.212132034224255
"4833","P02873_N",547012.45,0.636396103084356,2864379.25,0.353553390593274
"4834","P02874_C",546899.1,NA,2864550.7,NA
"4835","P02874_E",546916.9,NA,2864553.8,NA
"4836","P02874_N",546893.2,NA,2864584.2,NA
"4837","P02875_C",546863.7,0,2864357.2,0
"4838","P02875_E",546872.6,0,2864358.8,0
"4839","P02875_N",546862.4,0,2864365.1,0
"4840","P02876_C",547629,0,2864755.4,0
"4841","P02876_E",547644.8,0,2864758.2,0
"4842","P02876_N",547623.5,0,2864786.9,0
"4843","P02877_C",547711.7,0,2864967.3,0
"4844","P02877_E",547714.7,0,2864967.8,0
"4845","P02877_N",547705.8,0,2865000.8,0
"4846","P02878_C",547767.1,NA,2864692.4,NA
"4847","P02878_E",547795.6,NA,2864697.4,NA
"4848","P02878_N",547764.5,NA,2864707.1,NA
"4849","P02879_C",547540.6,NA,2864743.5,NA
"4850","P02879_E",547568.2,NA,2864748.3,NA
"4851","P02879_N",547539.5,NA,2864749.4,NA
"4852","P02880_C",547589.5,0,2864558.7,0
"4853","P02880_E",547620.1,0,2864564.1,0
"4854","P02880_N",547589,0,2864561.6,0
"4855","P02901_C",551577,NA,2901608.2,NA
"4856","P02901_E",551594.7,NA,2901611.6,NA
"4857","P02901_N",551575.1,NA,2901618,NA
"4858","P02902_C",551600,NA,2901820.2,NA
"4859","P02902_E",551613.7,NA,2901822.9,NA
"4860","P02902_N",551597.9,NA,2901831,NA
"4861","P02903_C",551682,NA,2901635.2,NA
"4862","P02903_E",551711.4,NA,2901640.9,NA
"4863","P02903_N",551681,NA,2901640.1,NA
"4864","P02904_C",551541,NA,2901790.2,NA
"4865","P02904_E",551544.9,NA,2901791,NA
"4866","P02904_N",551536.8,NA,2901811.8,NA
"4867","P02905_C",551474,NA,2901452.2,NA
"4868","P02905_E",551493.6,NA,2901456,NA
"4869","P02905_N",551470.9,NA,2901467.9,NA
"4870","P02906_C",552088,NA,2901592.2,NA
"4871","P02906_E",552102.7,NA,2901595.1,NA
"4872","P02906_N",552081.7,NA,2901624.6,NA
"4873","P02907_C",552100,NA,2901695.2,NA
"4874","P02907_E",552131.4,NA,2901701.3,NA
"4875","P02907_N",552097.9,NA,2901706,NA
"4876","P02908_C",552246,NA,2901424.2,NA
"4877","P02908_E",552271.5,NA,2901429.2,NA
"4878","P02908_N",552241.4,NA,2901447.8,NA
"4879","P02909_C",551966,NA,2901767.2,NA
"4880","P02909_E",551997.4,NA,2901773.3,NA
"4881","P02909_N",551961.4,NA,2901790.8,NA
"4882","P02910_C",552025,NA,2901469.2,NA
"4883","P02910_E",552035.8,NA,2901471.3,NA
"4884","P02910_N",552019.1,NA,2901499.6,NA
"4885","P02921_C",551392,NA,2902090.2,NA
"4886","P02921_E",551395.9,NA,2902091,NA
"4887","P02921_N",551390.7,NA,2902097.1,NA
"4888","P02922_C",551399,NA,2902155.2,NA
"4889","P02922_E",551417.7,NA,2902158.8,NA
